/PaymentTransaction.java 170:            if (customerPtr == null) { | java.lang.Object@3be72d67, 
/OrderStatusTransaction.java 168:                customerFirstName = customerPtr.getFirstName(); | java.lang.Object@3be72d67, 
/StockLevelTransaction.java 90:                    Orderline[] orderlineList = currentOrder.getOrderlineList(); | java.lang.Object@3be72d67, 
/OrderStatusTransaction.java 161:                customerPtr = company.getCustomer(uniqueCustomerId, false); | java.lang.Object@3be72d67, 
/StockLevelTransaction.java 93:                        JBButil.getLog().finest("StockLevelTransaction::process" + "  orderlineList=" + orderlineList + "  orderLineCount=" + orderLineCount); | java.lang.Object@3be72d67, 
/DeliveryTransaction.java 204:            queuedLog.putDate(dayTime, 12, 0, 10); | java.lang.Object@639b38b2, 
/StockLevelTransaction.java 92:                    if (JBButil.getLog().isLoggable(Level.FINEST)) { | java.lang.Object@3be72d67, 
/OrderStatusTransaction.java 160:                long uniqueCustomerId = company.buildUniqueCustomerKey(warehouseId, districtId, customerId); | java.lang.Object@3be72d67, 
/DeliveryTransaction.java 203:            queuedLog.putText("Queueing Time:", 0, 0, 12); | java.lang.Object@36919797, 
/DeliveryTransaction.java 206:            deliveryHandler.handleDelivery(this); | java.lang.Object@3be72d67, java.lang.Object@639b38b2, 
/OrderStatusTransaction.java 163:                customerPtr = company.getCustomerByLastName(warehouseId, districtId, cust_last_name); | java.lang.Object@3be72d67, 
/DeliveryTransaction.java 205:            queuedLog.putTime(dayTime, 24, 0, 10); | java.lang.Object@639b38b2, 
/OrderStatusTransaction.java 165:            if (customerPtr != null) { | java.lang.Object@3be72d67, 
/NewOrderTransaction.java 140:            Customer customerPtr = company.getCustomer(uniqueCustomerId, false); | java.lang.Object@3be72d67, 
/OrderStatusTransaction.java 211:                currentOrderPtr = null; | java.lang.Object@3be72d67, 
/OrderStatusTransaction.java 210:                customerBalance = BigDecimal.valueOf(0, 2); | java.lang.Object@3be72d67, 
/OrderStatusTransaction.java 172:                if (currentOrderPtr != null) { | java.lang.Object@3be72d67, 
/OrderStatusTransaction.java 171:                currentOrderPtr = customerPtr.getLatestOrder(); | java.lang.Object@3be72d67, 
/OrderStatusTransaction.java 170:                customerLastName = customerPtr.getLastName(); | java.lang.Object@3be72d67, 
/NewOrderTransaction.java 150:                customerPtr.addOrder(thisOrder); | java.lang.Object@3be72d67, 
/OrderStatusTransaction.java 207:                customerFirstName = ""; | java.lang.Object@3be72d67, 
/OrderStatusTransaction.java 176:                    orderLineCount = currentOrderPtr.getOrderlineCount(); | java.lang.Object@3be72d67, 
/OrderStatusTransaction.java 208:                customerMiddleName = ""; | java.lang.Object@3be72d67, 
/OrderStatusTransaction.java 175:                    orderCarrierId = currentOrderPtr.getCarrierId(); | java.lang.Object@3be72d67, 
/OrderStatusTransaction.java 174:                    orderEntryDate = currentOrderPtr.getEntryTime(); | java.lang.Object@3be72d67, 
/OrderStatusTransaction.java 209:                customerLastName = cust_last_name; | java.lang.Object@3be72d67, 
/OrderStatusTransaction.java 173:                    orderId = currentOrderPtr.getId(); | java.lang.Object@3be72d67, 
/OrderStatusTransaction.java 206:                customerId = 0; | java.lang.Object@3be72d67, 
/OrderStatusTransaction.java 189:                        ol_supplying_warehouse[line_number] = orderline.getSupplyWarehouse(); | java.lang.Object@3be72d67, 
/OrderStatusTransaction.java 184:                    for (i = 0; i < orderLineCount; i++) { | java.lang.Object@3be72d67, 
/OrderStatusTransaction.java 187:                            JBButil.getLog().finest(" i=" + i + " line_number=" + line_number + " orderline=" + orderline); | java.lang.Object@3be72d67, 
/OrderStatusTransaction.java 186:                        if (JBButil.getLog().isLoggable(Level.FINEST)) { | java.lang.Object@3be72d67, 
/OrderStatusTransaction.java 181:                    if (JBButil.getLog().isLoggable(Level.FINEST)) { | java.lang.Object@3be72d67, 
/OrderStatusTransaction.java 180:                    orderlineList = currentOrderPtr.getOrderlineList(); | java.lang.Object@3be72d67, 
/OrderStatusTransaction.java 182:                        JBButil.getLog().finest("OrderStatusTransaction::process" + " orderlineList=" + orderlineList + " orderLineCount=" + orderLineCount); | java.lang.Object@3be72d67, 
/CustomerReportTransaction.java 175:                    customerPtr = company.getCustomerByLastName(customerWarehouseId, customerDistrictId, cust_last_name); | java.lang.Object@3be72d67, java.lang.Object@79fdc6a9, 
/CustomerReportTransaction.java 177:            if (customerPtr == null) { | java.lang.Object@79fdc6a9, 
/CustomerReportTransaction.java 171:                        customerPtr = company.getCustomer(uniqueCustomerId, true); | java.lang.Object@79fdc6a9, java.lang.Object@3be72d67, 
/OrderStatusTransaction.java 193:                        ol_quantity[line_number] = orderline.getQuantity(); | java.lang.Object@3be72d67, 
/OrderStatusTransaction.java 192:                        ol_item_name[line_number] = (warehousePtr.retrieveItem(orderline.getItemId())).getName(); | java.lang.Object@3be72d67, 
/OrderStatusTransaction.java 191:                        warehousePtr = company.getWarehousePtr(warehouseId, false); | java.lang.Object@3be72d67, 
/CustomerReportTransaction.java 187:                    if (history.getCustomerId() == customerPtr.getId()) { | java.lang.Object@79fdc6a9, 
/CustomerReportTransaction.java 189:                        payments[histCount] = history; | java.lang.Object@4d9935c8, 
